team,points
Argentina,1876.12
Spain,1873.01
France,1869.43
England,1827.05
Portugal,1766.18
Brazil,1765.86
Morocco,1755.1
Netherlands,1751.1
Belgium,1742.24
Germany,1735.77
Croatia,1714.87
Colombia,1698.35
Mexico,1687.48
Senegal,1686.41
Uruguay,1673.07
United States,1671.23
Japan,1661.58
Switzerland,1650.06
Iran,1619.58
Turkey,1605.73
Ecuador,1598.52
Austria,1597.4
South Korea,1591.63
Australia,1579.34
Algeria,1571.03
Egypt,1562.37
Canada,1559.48
Norway,1557.44
Ivory Coast,1540.87
Panama,1539.16
Sweden,1509.79
Czech Republic,1505.74
Paraguay,1505.35
Scotland,1503.34
DR Congo,1479.68
Tunisia,1476.41
Uzbekistan,1461.21
Iraq,1451.15
Qatar,1450.31
South Africa,1428.38
Saudi Arabia,1421.54
Jordan,1387.74
Bosnia and Herzegovina,1387.22
Cape Verde,1371.11
Ghana,1346.88
Cura̤ao,1294.77
Haiti,1293.1
New Zealand,1275.58
